Source Warehouse,Store Location,Location Name,Invoice Number,Invoice Date,Item Number,Line Number,SCC,GL Code,Item Description,Supplier,Brand,Category Description,Sub Category Description,Case Size,Package Size,Package Unit,Unit of Measure,PriceBy UoM,Pack Description,Case Price,Net Case Price,PST Taxable,GST Taxable,Quantity Ordered,Quantity Shipped,Extended Price,PST Amount,GST Amount,Total,Factor,Container Deposit,Ecology Fee,Credit,SpecialOrder/JIT/Regular,Quantity Short,Catch Weight,Credit Code,Credit Code Description,Price Book Heading Number,Item Class Code,Customer Number
"GFS MILTON","","U OF T CAMPUSONE",2007170,2/06/2026,1280593, ,00626522110135,"MISC ITEM","APPETIZER BEAN GRN TEMPURA BTD VEGAN","Teja Food Group","Kapow","Frozen","FZN Appetizers",2,"4LB",,"CS","CS","2X4LB",49.92,0,"","",1,1,49.92,0,0,49.92,1,0,0,0,N,0,0,"","",14220,2,925360015
"GFS MILTON","","U OF T NEW COLLEGE",2007186,2/06/2026,1145418, ,10620868107559,"MISC ITEM","TOMATO DCD CDN","Sun-Brite Canning Ltd","Kitchen Essenti","Grocery","Tomato Products",6,"2.84L",,"CS","CS","6X2.84L",32.06,0,"","",1,1,32.06,0,0,32.06,1,0,0,0,N,0,0,"","",10030,1,925360002
"GFS MILTON","","U OF T NEW COLLEGE",2007186,2/06/2026,2713005, ,00060730101217,"MISC ITEM","TOPPING STRAWB RICH","Kraft Heinz Canada Milton","Richardson Bran","Grocery","Ice Cream Toppings Cones",8,"1L",,"CS","CS","8X1L",80.39,0,"","",1,1,80.39,0,0,80.39,1,0,0,0,N,0,0,"","",10370,1,925360002
"GFS MILTON","","U OF T NEW COLLEGE",2007186,2/06/2026,1314050, ,00852953001425,"MISC ITEM","WATER COCONUT ALL NAT CAN","Temple Lifestyle Inc.","Thirsty Buddha","Grocery","Water: Bottled",12,"490ML",,"CS","CS","12X490ML",24.18,0,"","",2,2,48.36,0,0,48.36,1,0,0,0,N,0,0,"","",10468,1,925360002
"GFS MILTON","","U OF T NEW COLLEGE",2007186,2/06/2026,HST Tax,,,"","HST","","","","",,"",,"EA","EA","Charge",150.65,150.65,"YES","",1,1,0,150.65,0,150.65,1,0,0,0,,0,0,"","",,12,925360002
"GFS MILTON","","U OF T CAMPUSONE",2007166,2/06/2026,1488259, ,30871459003956,"MISC ITEM","CHEESE ALT MOZZ STYL SHRED VEGAN FRSH","Dot Foods Inc. - CLR","Daiya","Dairy","Dairy Alternatives",3,"2.27KG",,"CS","CS","3X2.27KG",74.56,0,"","",1,1,74.56,0,0,74.56,1,0,0,0,N,0,0,"","",11195,6,925360015
"GFS MILTON","","U OF T CAMPUSONE",2007166,2/06/2026,9906805, ,10620868684036,"MISC ITEM","CHEESE MONT JACK SHRED WHT","Lactalis Canada Inc.","Gordon Choice","Dairy","Cheese Shrd Dcd Grated",2,"2.5KG",,"CS","CS","2X2.5KG",90.66,0,"","",1,1,90.66,0,0,90.66,1,0,0,0,N,0,0,"","",11090,6,925360015
"GFS MILTON","","U OF T CAMPUSONE",2007166,2/06/2026,1201567, ,10620868217586,"MISC ITEM","CHEESE MOZZ 19PCT PIZZA SHRED HALAL","Lactalis Canada Inc.","Tavolini","Dairy","Cheese Shrd Dcd Grated",4,"2.5KG",,"CS","CS","4X2.5KG",142.18,0,"","",3,3,426.54,0,0,426.54,1,0,0,0,N,0,0,"","",11090,6,925360015
"GFS MILTON","","U OF T CAMPUSONE",2007166,2/06/2026,1066249, ,10064767343500,"MISC ITEM","EGG FREE RUN LARGE BROWN LOCAL","Gray Ridge Eggs Inc.","Gray Ridge","Dairy","Shell Eggs",1,"15DZ",,"CS","CS","1X15DZ",72.76,0,"","",2,2,145.52,0,0,145.52,1,0,0,0,N,0,0,"","",11160,6,925360015
"GFS MILTON","","U OF T CAMPUSONE",2007166,2/06/2026,9938805, ,10620868359095,"MISC ITEM","EGG LIQ WHOLE FRESH ESL","Burnbrae Farms FRSH","Gordon Choice","Dairy","Egg Products",12,"1KG",,"CS","CS","12X1KG",69.7,0,"","",8,8,557.60,0,0,557.60,1,0,0,0,N,0,0,"","",11165,6,925360015
"GFS MILTON","","U OF T CAMPUSONE",2007166,2/06/2026,1286890, ,00058508310206,"MISC ITEM","POTATO RED DCD CUBE OIL BLANCHED","Michel St-Arneault Inc.","Qualifraiche","Produce","Fresh Cut Veg-Pot/Yams",6,"2KG",,"CS","CS","6X2KG",33.03,0,"","",3,3,99.09,0,0,99.09,1,0,0,0,N,0,0,"","",12329,10,925360015
"GFS MILTON","","U OF T CAMPUSONE",2007166,2/06/2026,1246346, ,10629025410259,"MISC ITEM","YOGURT PEACH 1.5PCTMF NO FRUIT PCS POUCH","Aliments Ultima Inc.","IOGO","Dairy","Fresh Yogurt",4,"2KG",,"CS","CS","4X2KG",40.31,0,"","",3,3,120.93,0,0,120.93,1,0,0,0,N,0,0,"","",11170,6,925360015
